UPC,Product Name,POG Segment,Fixture,Position,FW,FH,C,SRP,New Flag,Delete Flag,Move Flag,Pusher,Tray,Magic Rec Stat,Prod Group,POG DBKey,Space Station Name,Space Station Version Description,Name,POG Status,POG Live Date,POG Pending Date
0008680068785,NEUTR ULT SHR SNBLK SPF30,1,1,1,2,1,0,SRP,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010038,NEUTR ULT SHR BODY SPF30,1,1,2,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680068790,NEUTR ULT SHR SNBLK SPF55,1,1,3,1,1,0,SRP,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010355,NEUTR ULT SHR MFS BRD SPT,1,1,4,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007050111281,NEUTR ULTRA SHEER LOTION,1,1,5,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680068770,NEUTR ULT SHR SNBLK SPF70,1,1,6,1,1,0,SRP,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010040,NEUTR ULT SHR SNBLK SPF70,1,1,7,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010043,NEUTROGENA ULTRA SHEER LO,1,1,8,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680011080,NEUTR SHR ZNC SNSCR SPF50,1,1,9,1,1,0,SRP,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680010274,NEUTR MRL ULT SR DT FBSTK,1,1,10,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680086031,NEUTR CLR FACE LTN SPF30,1,2,1,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680011282,NEUTR CLR FACE LOTION,1,2,2,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680007270,NEUTR CLR FC SPF50 SNSCRN,1,2,3,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680006650,NEUTR CLEAR FACE SERUM,1,2,4,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680087025,NEUTR SPRT FACE LTN SPF70,1,2,5,1,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0008680006797,NEUTR SPRT ACT DF SUNSCRN,1,2,6,2,1,0,,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0007050111342,NEUTR HYDRBST WTR GL LTN,1,2,7,1,1,0,SRP,0,0,1,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
0086000078186,BLCK GRL SNSCRN GLOW,1,2,8,1,1,0,,1,0,0,,,,,8459121,D701_L00000_D03_C185_V680_F010_MX_H072_B13_U13,HP 62IN SUNCARE 5 SHELF 1 PEG 4 SIDED PALLET,185-SUNTAN 680 ,Pending,02-08-26,12-23-25
