Bay,Fixture,Position,UPC,Facings,New/Chg,Product Description,Size,Height,Width,Merch
1,5,1,0007214003926,2,,CPRTN SNSCRN SPRY TWN PK,11 OZ,7.39 in,4.00 in,Unit
1,5,2,0007214003927,2,,CPRTN SPRT 4N1 SPRY SPF30,5.5 OZ,7.39 in,2.08 in,Unit
1,5,3,0007214002761,2,,CPRTN SPRT 4N1 LTN SPF30,7 FO,7.88 in,2.75 in,Unit
1,5,4,0007214003826,2,,CPRTN SPORT FACE SUNCRN,2.5 FO,6.12 in,2.37 in,Unit
1,5,5,0007214002765,1,,CPRTN SPRT SPRY SPF 7,5.5 OZ,7.39 in,2.09 in,Unit
1,5,6,0007214002770,1,,CPRTN SPRT SPRAY SPF100,5.5 OZ,7.39 in,2.08 in,Unit
1,4,1,0007214003520,2,,CPRTN CMPLT SPR SPF50,5.5 OZ,7.38 in,2.13 in,Unit
1,4,2,0007214003205,1,,CPRTN CMPLT LTN SPF50,7 FO,7.50 in,2.90 in,Unit
1,4,3,0007214003925,2,,CPRTN SPRT SUNSCN SPRAY,11 OZ,7.38 in,4.20 in,Unit
1,4,4,0007214003912,1,CHANGE,CPRTN SPORT C SPRAY SPF50,5.5 OZ,7.39 in,2.08 in,Unit
1,4,5,0007214002747,1,,CPRTN SPRT SNSCRN SPF50,7 FO,7.88 in,2.75 in,Unit
1,4,6,0007214002748,1,,CPRTN SPRT SUNSCRN SPF70,7 FO,7.88 in,2.64 in,Unit
1,4,7,0007214003825,2,,COPPERTONE KIDS SPRAY SPF,5.5 OZ,7.30 in,2.08 in,Unit
1,3,1,0008680087273,2,,NEUTR BCH DFNS SPRY SPF30,6.5 OZ,7.30 in,2.00 in,Unit
1,3,2,0008680011254,1,,NEUTR BCH DFES SPRAY,6.5 OZ,7.30 in,2.00 in,Unit
1,3,3,0008680011253,1,,NTG BCH DFWTRSNPRTCSNLTNB,6.7 FO,6.65 in,2.50 in,Unit
1,3,4,0008680087275,1,,NEUTR ULT SHR SPF50 STICK,1.5 OZ,4.28 in,2.10 in,Unit
1,3,5,0008680087274,1,,NEUTR BCH DFNS SPRY SPF70,6.5 OZ,7.30 in,2.00 in,Unit
1,3,6,0008680007852,2,NEW,NEUTR BCH DEFNS SPF70 LTN,13.4 FO,6.75 in,5.00 in,Unit
1,3,7,0008680087272,2,,NEUTR BCH DFNS LTN SPF70,6.7 FO,6.65 in,2.30 in,Unit
1,2,1,0008680086031,2,,NEUTR CLR FACE LTN SPF30,3 FO,6.00 in,2.50 in,Unit
1,2,2,0008680011282,1,,NEUTR CLR FACE LOTION,3 OZ,6.00 in,2.50 in,Unit
1,2,3,0008680007270,2,,NEUTR CLR FC SPF50 SNSCRN,5 OZ,7.44 in,1.77 in,Unit
1,2,4,0008680006650,1,,NEUTR CLEAR FACE SERUM,1.7 FO,4.63 in,2.00 in,Unit
1,2,5,0008680087025,1,,NEUTR SPRT FACE LTN SPF70,2.5 FO,5.14 in,2.20 in,Unit
1,2,6,0008680006797,2,,NEUTR SPRT ACT DF SUNSCRN,5 OZ,7.44 in,1.77 in,Unit
1,2,7,0007050111342,1,,NEUTR HYDRBST WTR GL LTN,3 FO,6.06 in,2.30 in,Tray
1,2,8,0086000078186,1,NEW,BLCK GRL SNSCRN GLOW,3 OZ,6.00 in,2.00 in,Unit
1,2,9,0086012100040,1,NEW,BLCK GRL SNSCRN MSTRZ,3 FO,5.80 in,2.30 in,Unit
1,2,10,0086000078182,1,NEW,BLCK GRL SNSCRN HYBRD,3 FO,5.80 in,2.30 in,Unit
1,1,1,0008680068785,2,,NEUTR ULT SHR SNBLK SPF30,3 FO,5.96 in,2.30 in,Tray
1,1,2,0008680010038,2,,NEUTR ULT SHR BODY SPF30,5 OZ,7.90 in,1.77 in,Unit
1,1,3,0008680068790,1,,NEUTR ULT SHR SNBLK SPF55,3 FO,5.96 in,2.40 in,Tray
1,1,4,0008680010355,1,,NEUTR ULT SHR MFS BRD SPT,1.7 FO,4.63 in,2.00 in,Unit
1,1,5,0007050111281,1,,NEUTR ULTRA SHEER LOTION,5 FO,6.65 in,2.85 in,Unit
1,1,6,0008680068770,1,,NEUTR ULT SHR SNBLK SPF70,3 FO,5.96 in,2.44 in,Tray
1,1,7,0008680010040,1,,NEUTR ULT SHR SNBLK SPF70,5 OZ,7.40 in,1.77 in,Unit
1,1,8,0008680010043,1,,NEUTROGENA ULTRA SHEER LO,5 OZ,6.75 in,2.85 in,Unit
1,1,9,0008680011080,1,,NEUTR SHR ZNC SNSCR SPF50,3 FO,5.89 in,2.46 in,Tray
1,1,10,0008680010274,1,,NEUTR MRL ULT SR DT FBSTK,1.5 OZ,4.28 in,2.00 in,Unit
2,5,1,0007965603178,2,,BBOAT SPRT ULTMST SPF30,6 OZ,7.36 in,2.13 in,Unit
2,5,2,0007965603165,2,,BB SPRT SPF30 SPRY TWN PK,2/6 FO,7.75 in,4.22 in,Unit
2,5,3,0007965604971,2,,BBOAT SPRT LOTION SPF30,8 FO,7.50 in,2.27 in,Unit
2,5,4,0007965613089,2,,BBOAT SPR ULT SPF60 RN LT,2.5 OZ,4.75 in,2.00 in,Unit
2,5,5,0007965605080,2,,BBOAT SPRT SPRAY SPF100,6 OZ,7.60 in,2.13 in,Unit
2,5,6,0007965604968,1,,BBOAT SPRT SUN SPF100,4 FO,5.38 in,2.20 in,Unit
2,4,1,0007965603223,2,,BBOAT SPRT CLR SPRY SPF50,9.5 OZ,9.06 in,2.35 in,Unit
2,4,2,0007965603179,2,,BBOAT ULTMST SPORT SPF50,6 OZ,7.36 in,2.13 in,Unit
2,4,3,0007965601332,2,,BB SPRT SPF50 SPRY TWN PK,2/6 OZ,7.75 in,4.20 in,Unit
2,4,4,0007965614293,3,,BBOAT SPORT SPF50 SNSCRN,3 FO,5.38 in,2.00 in,Unit
2,4,5,0007965614029,1,,BBOAT SPRT SPF AD CNT MST,5.5 FO,7.91 in,2.35 in,Unit
2,4,6,0007965604972,1,,BBOAT SPRT SUN SPF50,8 FO,7.50 in,2.27 in,Unit
2,3,1,0007965614431,1,NEW,BBOAT SHR SENS SPF50 SPR,6 OZ,7.36 in,2.09 in,Unit
2,3,2,0007965614432,1,NEW,BBOAT SHR SENS SPF50 LTN,6 FO,6.60 in,3.00 in,Unit
2,3,3,0007965614433,1,NEW,BBOAT SHR SENS LTN SPF50,3 FO,5.50 in,2.29 in,Unit
2,3,4,0007965602580,1,,BB KIDS SPORT CSPRAY SPF,EA,9.06 in,2.35 in,Unit
2,3,5,0007965602560,2,,BB KIDS SPRT SPF50 TWN PK,2/6 OZ,7.72 in,4.19 in,Unit
2,3,6,0007965601806,1,,BB KIDS SPRT UM SPF50,6 OZ,7.36 in,2.13 in,Unit
2,3,7,0007965614030,1,,BBOAT KIDS SPF AD CNT MST,5.5 FO,7.91 in,2.35 in,Unit
2,3,8,0007965605082,1,,BBOAT KIDS SPRAY SPF100,6 OZ,7.36 in,2.13 in,Unit
2,3,9,0007965604662,1,,BB ALOE LIP BALM SPF45,1 CT,3.95 in,3.20 in,Tray
2,2,1,0007548608989,2,,HWTRP SPRT CSPRAY SPF30,6 OZ,7.75 in,2.08 in,Unit
2,2,2,0007548609114,2,,HWTRP SPT SPRAY SPF50,6 OZ,7.75 in,2.09 in,Unit
2,2,3,0007548608747,2,,HWTRP SHEER LTN SPF30,8 FO,7.06 in,2.68 in,Unit
2,2,4,0007548608760,2,,HWTRP SHEER SUN SPF50 FL,8 FO,7.06 in,2.68 in,Unit
2,2,5,0007548613763,2,,HWTRP HYDRATION WTLS MSTR,6 FO,7.75 in,2.09 in,Unit
2,2,6,0007548609192,2,NEW,HWTRP SLKHYD WGHTLSS,6 OZ,7.75 in,2.09 in,Unit
